Name,Birthdate
Rohitha Abeygunawardena,1966-09-21
Ashoka Abeysinghe,unknown
Rajika Wickramasinghe,1973-08-05
Udayakantha Gunathilaka,1965-05-03
Mahinda Yapa Abeywardena,1945-10-10
Basil Rajapaksa,1951-04-27
Dhammika Perera,1967-12-28
Selvam Adaikalanathan,1962-06-10
Lasantha Alagiyawanna,1967-10-19
Dullas Alahapperuma,1959-05-14
J. C. Alawathuwala,unknown
Harini Amarasuriya,1970-03-06
Amarakeerthi Athukorala,1964-12-23
Rohana Dissanayake,1958-03-09
Mahindananda Aluthgamage,1964-11-21
Sudath Manjula,1972-12-10
Gunapala Rathnasekara,1961-12-07
Tissa Attanayake,1961-05-17
Mahinda Amaraweera,1962-02-12
Dilum Amunugama,unknown
Nalaka Kottegoda,1979-09-14
Kapila Nuwan Athukorala,unknown
Indika Anuruddha,unknown
Hector Appuhamy,unknown
A. Aravind Kumar,1954-11-17
Thalatha Atukorale,1963-05-30
Risad Badhiutheen,1972-11-27
Tharaka Balasuriya,1974-04-16
Nalin Bandara,1974-06-05
R. M. Ranjith Madduma Bandara,1954-08-25
Rohana Bandara,1977-09-26
Shantha Bandara,unknown
Sumith Udukumbura,1975-01-15
Vijitha Berugoda,unknown
D. V. Chanaka,1987-09-11
S. M. Chandrasena,1955-05-03
Chamara Sampath Dassanayake,1971-08-31
W. H. M. Dharmasena,1955-07-07
Piyal Nishantha de Silva,1970-06-30
Harsha de Silva,1964-08-30
Nimal Siripala de Silva,1944-09-06
Akila Ellawala,1976-01-06
Douglas Devananda,1957-11-10
Palani Digambaran,1967-01-10
Anura Kumara Dissanayake,1968-11-24
Duminda Dissanayake,1979-03-28
Mayantha Dissanayake,1974-01-11
Kulasingam Thileepan,1979-05-22
Sanjeeva Edirimanna,unknown
S. B. Dissanayake,1951-09-18
Wimalaweera Dissanayake,unknown
Marjan Faleel,1962-06-10
Cassim Faizal,1957-09-04
Arundika Fernando,unknown
Harin Fernando,1978-10-28
Johnston Fernando,1964-12-05
Sudarshani Fernandopulle,1960-10-29
Sarath Fonseka,1950-12-18
Lalith Ellawala,unknown
Anupa Pasqual,1964-06-17
Nalin Fernando,1973-05-08
Diana Gamage,unknown
Jagath Pushpakumara,1963-04-03
A. L. M. Athaullah,1957-10-06
Pramitha Tennakoon,1978-09-11
Siripala Gamalath,1952-07-18
Udaya Gammanpila,1970-02-06
Mano Ganesan,1959-12-17
Upul Galappaththi,1979-02-07
Nalaka Godahewa,1965-06-07
Sudarshana Denipitiya,unknown
Kokila Gunawardena,1974-04-28
Yadamini Gunawardena,unknown
Bandula Gunawardena,1953-03-15
Dinesh Gunawardena,1949-03-02
Rauff Hakeem,1960-04-13
M. H. A. Haleem,1956-08-29
H. M. M. Harees,1971-09-06
Kabir Hashim,1959-05-19
Kanaka Herath,1976-04-27
Vijitha Herath,1968-05-01
Charitha Herath,1967-09-09
Sivanesathurai Chandrakanthan,1975-08-18
Thushara Indunil,1968-07-20
Ishak Rahuman,unknown
Sisira Jayakody,1965-03-11
Samanpriya Herath,1976-11-03
D. B. Herath,1956-05-23
Anuradha Jayaratne,1985-12-22
Piyankara Jayaratne,1964-09-27
Dayasiri Jayasekara,1969-06-12
Premalal Jayasekara,1974-11-16
K. P. S. Kumarasiri,unknown
Channa Jayasumana,1980-01-08
K. H. Nandasena,1954-09-20
Milan Jayathilaka,1981-08-01
Jayarathna Herath,unknown
Kavinda Jayawardena,unknown
S. Kajendran,1974-10-29
Rohini Kumari Wijerathna,unknown
Sagara Kariyawasam,1967-11-13
Gayantha Karunatileka,unknown
Lakshman Kiriella,1948-02-02
Muszhaaraff Muthunabeen,1983-06-10
Jagath Kumara,unknown
Geetha Kumarasinghe,1955-07-05
Asanka Navarathna,1981-01-09
Nimal Lanza,unknown
Gamini Lokuge,1943-05-08
Imran Maharoof,1983-09-17
Karunadasa Kodithuwakku,1961-06-15
Wasantha Yapa Bandara,unknown
Udayana Kirindigoda,unknown
Gayashan Nawananda,1990-03-25
Gunathilaka Rajapaksha,1957-11-08
Ajith Mannapperuma,unknown
S. M. Marikkar,1977-01-12
K. Kader Masthan,unknown
Imthiaz Bakeer Markar,1953-08-08
Dushmantha Mithrapala,unknown
Mohamed Mussammil,unknown
Chinthaka Mayadunne,1975-10-11
Vajira Abeywardena,1960-09-02
Manusha Nanayakkara,1977-09-24
Vasudeva Nanayakkara,1939-01-03
Kins Nelson,1973-10-29
Ahamed Nazeer Zainulabdeen,1961-04-16
Charles Nirmalanathan,1975-11-24
Sanath Nishantha,1975-05-03
Vino Noharathalingam,1963-06-07
Buddhika Pathirana,1974-03-17
Ramesh Pathirana,1969-05-12
G. L. Peiris,1946-08-13
Muditha Prishanthi,1968-10-12
Dilan Perera,1962-04-19
Nipuna Ranawaka,1990-11-01
Nimal Piyatissa,1968-01-05
Niroshan Perera,unknown
Sujith Sanjaya Perera,unknown
Gajendrakumar Ponnambalam,1974-01-16
Premnath C. Dolawaththa,unknown
Pradeep Undugoda,1971-06-29
Sajith Premadasa,1967-01-12
Susil Premajayantha,1955-01-10
Uddika Premarathna,1980-09-16
Ashoka Priyantha,unknown
Weerasumana Weerasinghe,1975-11-17
Velusami Radhakrishnan,1952-08-01
Mujibur Rahman,1968-04-17
Harshana Rajakaruna,unknown
Chamal Rajapaksa,1942-10-30
Mahinda Rajapaksa,1945-11-18
Namal Rajapaksa,1986-04-10
Wijeyadasa Rajapakshe,1959-03-16
Angajan Ramanathan,1983-07-09
Ranjan Ramanayake,1963-03-11
Keheliya Rambukwella,1954-09-21
Roshan Ranasinghe,1975-10-24
Thilak Rajapaksha,1971-05-02
Prasanna Ranatunga,1967-01-01
Champika Ranawaka,1965-08-04
Prasanna Ranaweera,unknown
Kumarasiri Rathnayake,1967-01-15
Suren Raghavan,unknown
C. B. Ratnayake,1958-01-21
Ajith Nivard Cabraal,1954-12-14
Jayantha Ketagoda,unknown
Jayantha Ketagoda,unknown
Lohan Ratwatte,1968-06-22
Isuru Dodangoda,unknown
Mahinda Samarasinghe,1956-01-30
Shasheendra Rajapaksa,1976-06-28
Ali Sabry,1970-05-01
Tiran Alles,1960-06-03
Jayantha Samaraweera,1968-12-20
Ali Sabri Raheem,1963-01-05
R. Sampanthan,1933-02-05
Chaminda Sampath,unknown
Asanka Shehan Semasinghe,1976-11-13
Janaka Thissakuttiarachchi,1980-02-01
Ajith Rajapakse,1974-01-06
Rajitha Senaratne,1950-05-29
Seetha Arambepola,1974-09-11
Chandima Weerakkody,1968-05-23
John Senewiratne,1941-01-15
Upul Mahendra,1971-09-25
D. Siddarthan,1948-09-10
Mohan Silva,1966-12-23
G. Karunakaran,1963-10-01
M. Rameshwaran,1976-12-26
T. Kalaiarasan,1970-04-16
Ranjith Siyambalapitiya,1961-05-01
Shan Wijayalal De Silva,unknown
S. Sritharan,1968-12-08
M. A. Sumanthiran,1964-02-09
Sahan Pradeep Withana,unknown
Vadivel Suresh,unknown
Maithripala Sirisena,1951-09-03
Janaka Bandara Tennakoon,1953-04-13
Athuraliye Rathana Thero,1962-10-05
M. Udayakumar,1967-09-28
Jeewan Thondaman,1994-11-09
M. S. Thowfeek,1971-01-07
Ranil Wickremesinghe,1949-03-24
M. Velu Kumar,1973-01-16
Thenuka Vidanagamage,1973-03-23
Tissa Vitharana,1934-08-30
S. Viyalendiran,1978-11-15
Janaka Wakkumbura,1967-12-15
Pavithra Devi Wanniarachchi,1964-11-10
Dilip Wedaarachchi,1957-02-05
D. Weerasingha,1979-04-15
Wimal Weerawansa,1970-03-07
Kumara Welgama,1950-04-05
Eran Wickramaratne,unknown
C. V. Vigneswaran,1939-10-23
Vidura Wickremenayake,1959-07-11
Jayantha Weerasinghe,1950-09-13
Sarath Weerasekara,1951-10-29
Madhura Withanage,unknown
Priyantha Liyanage,unknown
Gamini Waleboda,1967-10-28
Kanchana Wijesekera,1982-04-27
Chaminda Wijesiri,1980-08-04
Manjula Dissanayake,1967-01-27
Ranjith Bandara,1961-11-04
Gevindu Kumaratunga,1964-12-10
Ankumbura Withanage,unknown
Anura Priyadharshana Yapa,1959-01-18
Rahul Rajapuththiran,1990-09-20
Lalith Varna Kumara,1974-10-07
Jagath Samarawickrama,unknown
A. H. M. Fowzie,1937-10-13
Seyed Ali Zahir Moulana,1956-06-25
Nayana Wasalathilake,unknown
Jagath Priyankara,1979-12-09
Sarath Chandrasiri Muthukumarana,1953-02-24
M. G. Weerasena,unknown
Mujibur Rahman,1968-04-17
